TREE_COLORS
SEPARATOR TAB
DATA
489	range	#10746C	Firmicutes
490	range	#10746C	Firmicutes
491	range	#10746C	Firmicutes
492	range	#10746C	Firmicutes
493	range	#10746C	Firmicutes
494	range	#10746C	Firmicutes
495	range	#10746C	Firmicutes
496	range	#10746C	Firmicutes
497	range	#10746C	Firmicutes
498	range	#10746C	Firmicutes
499	range	#10746C	Firmicutes
500	range	#10746C	Firmicutes
501	range	#10746C	Firmicutes
502	range	#10746C	Firmicutes
503	range	#10746C	Firmicutes
504	range	#10746C	Firmicutes
505	range	#10746C	Firmicutes
506	range	#10746C	Firmicutes
507	range	#10746C	Firmicutes
508	range	#10746C	Firmicutes
509	range	#10746C	Firmicutes
510	range	#10746C	Firmicutes
511	range	#10746C	Firmicutes
512	range	#10746C	Firmicutes
513	range	#10746C	Firmicutes
514	range	#10746C	Firmicutes
515	range	#10746C	Firmicutes
516	range	#10746C	Firmicutes
517	range	#10746C	Firmicutes
518	range	#10746C	Firmicutes
519	range	#10746C	Firmicutes
520	range	#10746C	Firmicutes
521	range	#10746C	Firmicutes
522	range	#10746C	Firmicutes
523	range	#10746C	Firmicutes
524	range	#10746C	Firmicutes
525	range	#10746C	Firmicutes
526	range	#10746C	Firmicutes
527	range	#10746C	Firmicutes
528	range	#10746C	Firmicutes
529	range	#10746C	Firmicutes
530	range	#10746C	Firmicutes
531	range	#10746C	Firmicutes
532	range	#10746C	Firmicutes
533	range	#10746C	Firmicutes
534	range	#10746C	Firmicutes
535	range	#10746C	Firmicutes
536	range	#10746C	Firmicutes
537	range	#10746C	Firmicutes
538	range	#10746C	Firmicutes
539	range	#10746C	Firmicutes
540	range	#10746C	Firmicutes
541	range	#10746C	Firmicutes
542	range	#10746C	Firmicutes
543	range	#10746C	Firmicutes
544	range	#10746C	Firmicutes
545	range	#10746C	Firmicutes
546	range	#10746C	Firmicutes
547	range	#10746C	Firmicutes
548	range	#10746C	Firmicutes
549	range	#10746C	Firmicutes
550	range	#10746C	Firmicutes
551	range	#10746C	Firmicutes
552	range	#10746C	Firmicutes
553	range	#10746C	Firmicutes
554	range	#10746C	Firmicutes
555	range	#10746C	Firmicutes
556	range	#10746C	Firmicutes
557	range	#10746C	Firmicutes
558	range	#10746C	Firmicutes
559	range	#10746C	Firmicutes
560	range	#10746C	Firmicutes
561	range	#10746C	Firmicutes
562	range	#10746C	Firmicutes
563	range	#10746C	Firmicutes
564	range	#10746C	Firmicutes
565	range	#10746C	Firmicutes
566	range	#10746C	Firmicutes
567	range	#10746C	Firmicutes
568	range	#10746C	Firmicutes
569	range	#10746C	Firmicutes
570	range	#10746C	Firmicutes
571	range	#10746C	Firmicutes
572	range	#10746C	Firmicutes
573	range	#10746C	Firmicutes
574	range	#10746C	Firmicutes
575	range	#10746C	Firmicutes
576	range	#10746C	Firmicutes
577	range	#10746C	Firmicutes
578	range	#10746C	Firmicutes
579	range	#10746C	Firmicutes
580	range	#10746C	Firmicutes
581	range	#10746C	Firmicutes
582	range	#10746C	Firmicutes
583	range	#10746C	Firmicutes
584	range	#10746C	Firmicutes
585	range	#10746C	Firmicutes
586	range	#10746C	Firmicutes
587	range	#10746C	Firmicutes
588	range	#10746C	Firmicutes
589	range	#10746C	Firmicutes
590	range	#10746C	Firmicutes
591	range	#10746C	Firmicutes
592	range	#10746C	Firmicutes
593	range	#10746C	Firmicutes
594	range	#10746C	Firmicutes
595	range	#10746C	Firmicutes
596	range	#10746C	Firmicutes
597	range	#10746C	Firmicutes
598	range	#10746C	Firmicutes
599	range	#10746C	Firmicutes
600	range	#10746C	Firmicutes
601	range	#10746C	Firmicutes
602	range	#10746C	Firmicutes
603	range	#10746C	Firmicutes
604	range	#10746C	Firmicutes
605	range	#10746C	Firmicutes
606	range	#10746C	Firmicutes
607	range	#10746C	Firmicutes
608	range	#10746C	Firmicutes
609	range	#10746C	Firmicutes
610	range	#10746C	Firmicutes
611	range	#10746C	Firmicutes
612	range	#10746C	Firmicutes
613	range	#10746C	Firmicutes
614	range	#10746C	Firmicutes
615	range	#10746C	Firmicutes
616	range	#10746C	Firmicutes
617	range	#10746C	Firmicutes
618	range	#10746C	Firmicutes
619	range	#10746C	Firmicutes
620	range	#10746C	Firmicutes
621	range	#10746C	Firmicutes
622	range	#10746C	Firmicutes
623	range	#10746C	Firmicutes
624	range	#10746C	Firmicutes
625	range	#10746C	Firmicutes
626	range	#10746C	Firmicutes
627	range	#10746C	Firmicutes
628	range	#10746C	Firmicutes
629	range	#10746C	Firmicutes
630	range	#10746C	Firmicutes
631	range	#10746C	Firmicutes
632	range	#10746C	Firmicutes
633	range	#10746C	Firmicutes
634	range	#10746C	Firmicutes
635	range	#10746C	Firmicutes
636	range	#10746C	Firmicutes
637	range	#10746C	Firmicutes
638	range	#10746C	Firmicutes
639	range	#10746C	Firmicutes
640	range	#10746C	Firmicutes
641	range	#10746C	Firmicutes
642	range	#10746C	Firmicutes
643	range	#10746C	Firmicutes
644	range	#10746C	Firmicutes
645	range	#10746C	Firmicutes
646	range	#10746C	Firmicutes
647	range	#10746C	Firmicutes
648	range	#10746C	Firmicutes
649	range	#10746C	Firmicutes
650	range	#10746C	Firmicutes
651	range	#10746C	Firmicutes
652	range	#10746C	Firmicutes
653	range	#10746C	Firmicutes
654	range	#10746C	Firmicutes
655	range	#10746C	Firmicutes
656	range	#10746C	Firmicutes
657	range	#10746C	Firmicutes
658	range	#10746C	Firmicutes
659	range	#10746C	Firmicutes
660	range	#10746C	Firmicutes
661	range	#10746C	Firmicutes
662	range	#10746C	Firmicutes
663	range	#10746C	Firmicutes
664	range	#10746C	Firmicutes
665	range	#10746C	Firmicutes
666	range	#10746C	Firmicutes
667	range	#10746C	Firmicutes
668	range	#10746C	Firmicutes
669	range	#10746C	Firmicutes
670	range	#10746C	Firmicutes
671	range	#10746C	Firmicutes
672	range	#10746C	Firmicutes
673	range	#10746C	Firmicutes
674	range	#10746C	Firmicutes
675	range	#10746C	Firmicutes
676	range	#10746C	Firmicutes
677	range	#10746C	Firmicutes
678	range	#10746C	Firmicutes
679	range	#10746C	Firmicutes
680	range	#31938B	Tenericutes
681	range	#48A49B	Thermobaculum
682	range	#48A49B	Thermobaculum
683	range	#48A49B	Thermobaculum
684	range	#48A49B	Thermobaculum
685	range	#60B6AC	Thermotogae
686	range	#60B6AC	Thermotogae
687	range	#20847C	environmental samples
688	range	#20847C	environmental samples
